name,search_query,quartz_url,CPID,potential products,potential manufacturers,potential manufacturers google
"Rebar (40,60,75,80 Grade Steel)","Rebar (40,60,75,80 Grade Steel)",http://quartzproject.org/p/CP000,CP000,"https://www.specifiedby.com/search?q=Rebar (40,60,75,80 Grade Steel)","https://www.specifiedby.com/search?q=Rebar (40,60,75,80 Grade Steel)&type=companies&a=0","https://www.google.co.uk/search?q=Rebar (40,60,75,80 Grade Steel) companies&type=companies&a=0"
"Rebar (40,60,75,80 Grade Steel)",Reinforcement Bar,http://quartzproject.org/p/CP000,CP000,https://www.specifiedby.com/search?q=Reinforcement Bar,https://www.specifiedby.com/search?q=Reinforcement Bar&type=companies&a=0,https://www.google.co.uk/search?q=Reinforcement Bar companies&type=companies&a=0
"Rebar (40,60,75,80 Grade Steel)",Concrete Reinforcement,http://quartzproject.org/p/CP000,CP000,https://www.specifiedby.com/search?q=Concrete Reinforcement,https://www.specifiedby.com/search?q=Concrete Reinforcement&type=companies&a=0,https://www.google.co.uk/search?q=Concrete Reinforcement companies&type=companies&a=0
Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),http://quartzproject.org/p/CP001,CP001,https://www.specifiedby.com/search?q=Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),https://www.specifiedby.com/search?q=Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi)&type=companies&a=0,https://www.google.co.uk/search?q=Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi) companies&type=companies&a=0
Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),Concrete,http://quartzproject.org/p/CP001,CP001,https://www.specifiedby.com/search?q=Concrete,https://www.specifiedby.com/search?q=Concrete&type=companies&a=0,https://www.google.co.uk/search?q=Concrete companies&type=companies&a=0
Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),In-situ concrete,http://quartzproject.org/p/CP001,CP001,https://www.specifiedby.com/search?q=In-situ concrete,https://www.specifiedby.com/search?q=In-situ concrete&type=companies&a=0,https://www.google.co.uk/search?q=In-situ concrete companies&type=companies&a=0
Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),NWC,http://quartzproject.org/p/CP001,CP001,https://www.specifiedby.com/search?q=NWC,https://www.specifiedby.com/search?q=NWC&type=companies&a=0,https://www.google.co.uk/search?q=NWC companies&type=companies&a=0
Ready Mixed Concrete (Straight Mix) (NWC 3000-4000psi),Ready Mixed,http://quartzproject.org/p/CP001,CP001,https://www.specifiedby.com/search?q=Ready Mixed,https://www.specifiedby.com/search?q=Ready Mixed&type=companies&a=0,https://www.google.co.uk/search?q=Ready Mixed companies&type=companies&a=0
Drywall (Natural Gypsum),Drywall (Natural Gypsum),http://quartzproject.org/p/CP005,CP005,https://www.specifiedby.com/search?q=Drywall (Natural Gypsum),https://www.specifiedby.com/search?q=Drywall (Natural Gypsum)&type=companies&a=0,https://www.google.co.uk/search?q=Drywall (Natural Gypsum) companies&type=companies&a=0
Drywall (Natural Gypsum),Gypsum board,http://quartzproject.org/p/CP005,CP005,https://www.specifiedby.com/search?q=Gypsum board,https://www.specifiedby.com/search?q=Gypsum board&type=companies&a=0,https://www.google.co.uk/search?q=Gypsum board companies&type=companies&a=0
